,TransactionNo,TotalQuantity,TotalMoney
11046,556513,46,475.55
11047,556516,49,463.95
11048,556514,1,30.7
11049,556632,17,173.22
11050,556507,549,813.3100000000002
11051,556517,412,373.65
11052,556531,321,619.75
11053,556536,150,365.77
11054,556579,520,1029.83
11055,556509,99,225.65000000000003
11056,556515,36,274.8
11057,556537,274,253.05000000000004
11058,556539,28,164.87
11059,556672,150,316.5
11061,556510,427,542.0500000000001
11062,556534,65,48.58
11063,556577,91,148.82999999999998
11065,556596,112,120.73
11066,556500,32,90.44
11067,556501,250,201.63
11068,556502,224,416.86
11069,556504,330,307.56999999999994
11071,556506,48,11.34
11072,556512,120,154.0
11073,556519,2,10.92
11074,556520,39,295.06
11075,556521,44,190.5
11076,556523,15,10.92
11077,556526,110,137.60000000000002
11078,556527,60,291.02000000000004
11079,556528,236,225.27
11080,556529,232,247.91
11081,556533,206,118.35
11082,556538,330,259.66
11083,556540,76,46.0
11084,556541,115,137.81
11085,556542,210,475.39
11086,556571,106,151.93999999999997
11087,556572,112,58.6
11088,556573,156,346.06
11089,556574,408,26.12
11090,556575,94,532.6900000000002
11091,556576,71,393.35
11092,556625,3,39.35
11093,556629,284,300.73
11094,556630,135,159.14999999999998
11095,556631,120,65.06
11096,556641,91,193.23
11097,556642,83,249.87999999999997
11098,556667,196,46.28
11099,556670,388,86.59
11100,556671,129,1001.5700000000004
11101,556679,48,32.49
11102,556499,3,46.02
11103,556464,54,106.11
11104,556467,57,260.69000000000005
11105,556477,86,208.59
11106,556479,86,292.94
11107,556498,3,47.05
11108,556472,124,212.42
11109,556475,497,347.61
11110,556465,21,268.33
11111,556466,31,99.98
11113,556497,97,153.91
11114,556460,296,234.47
11115,556461,558,90.09
11116,556462,89,217.02
11118,556468,33,124.02
11119,556469,342,111.71999999999998
11120,556470,148,258.90000000000003
11121,556471,153,153.69
11122,556473,217,995.7100000000002
11123,556474,163,924.59
11124,556476,182,165.78
11125,556478,455,209.46
11126,556480,113,159.16
11127,556481,72,329.23
11128,556482,411,326.91000000000014
11129,556483,40,338.91
11130,556485,48,235.1
11132,556487,134,398.05
11133,556488,44,222.51
11134,556489,58,381.96
11135,556490,96,242.63
11136,556491,260,617.75
11137,556492,376,94.25
11138,556494,332,724.8900000000003
11139,556495,179,719.69
11140,556496,36,11.53
11141,556444,60,14.65
11142,556446,1,14.65
11143,556459,353,2494.68
11144,556433,258,756.2199999999999
11145,556427,91,460.93
11146,556428,82,573.4
11147,556323,115,101.97
11148,556329,44,204.49
11149,556330,249,532.2500000000001
11151,556441,162,419.87
11152,556284,94,199.09
11153,556290,170,283.1700000000001
11154,556341,223,393.28
11155,556416,64,318.53000000000003
11156,556434,267,372.98
11157,556282,212,144.93
11158,556283,193,212.91
11159,556285,70,91.52
11160,556288,297,203.4
11161,556296,350,263.80000000000007
11162,556298,134,103.17
11163,556302,488,63.19
11164,556303,115,277.32
11165,556304,296,142.73
11166,556305,160,25.72
11167,556318,382,172.79000000000002
11168,556325,55,196.54
11169,556365,158,526.6300000000001
11170,556386,36,37.08
11171,556397,200,12.08
11172,556408,97,404.32
11173,556413,45,346.34
11174,556417,4,15.32
11175,556419,48,155.70000000000002
11176,556425,161,358.35
11177,556426,145,230.09
11178,556429,44,302.8
11179,556431,2,27.25
11180,556432,139,146.77
11181,556435,74,121.6
11182,556437,65,94.76
11183,556439,25,70.52
11184,556440,364,178.61
11185,556442,60,15.32
11186,556443,70,118.66000000000004
11187,556447,144,120.0
11188,556454,48,11.12
11189,556455,580,219.18
11190,556456,1,14.09
11191,556181,120,390.31
11192,556139,116,188.39
11193,556237,603,3454.53
11194,556245,200,817.45
11195,556264,94,174.63
11196,556202,90,283.3299999999999
11197,556243,287,2259.84
11198,556254,119,141.55
11199,556125,136,210.14
11200,556218,97,307.97
11201,556219,84,259.96
11202,556241,437,674.7800000000002
11203,556259,460,457.42
11204,556238,109,152.91
11205,556246,176,388.97
11206,556247,138,219.13
11208,556230,58,97.19
11209,556257,196,399.35
11210,556280,118,489.81
11211,556109,67,182.57
11212,556187,98,228.59000000000003
11213,556205,94,191.38
11214,556206,261,348.74999999999994
11215,556229,178,246.46
11216,556253,30,154.76
11217,556258,320,239.7
11218,556263,242,644.6999999999999
11219,556110,160,36.13
11220,556111,288,267.19
11221,556112,256,258.44
11222,556113,421,477.03
11223,556114,78,63.470000000000006
11224,556115,76,86.07000000000001
11225,556116,154,128.72
11226,556118,36,93.55
11227,556119,24,12.08
11228,556120,521,186.36
11229,556121,68,252.62
11230,556126,244,248.62
11231,556128,94,88.47
11232,556129,294,119.0
11233,556130,154,134.26
11234,556179,426,168.73000000000002
11235,556182,77,250.2
11236,556183,162,267.72
11237,556184,205,168.57999999999998
11238,556185,36,22.55
11239,556186,146,122.51
11240,556188,220,214.2
11241,556189,234,212.13
11242,556190,28,54.77
11243,556191,116,72.03
11244,556192,64,40.27
11245,556193,388,277.11
11246,556194,186,123.63
11247,556195,355,253.03
11248,556196,16,43.03
11249,556197,114,168.29000000000002
11250,556198,167,457.22000000000014
11251,556199,232,255.97
11252,556201,196,239.44
11253,556203,144,45.5
11254,556204,102,261.88
11255,556207,110,232.71
11256,556208,198,100.21
11257,556214,455,225.15
11258,556216,99,193.75
11259,556222,527,554.7300000000001
11260,556228,16,35.57
11261,556234,11,115.82
11262,556235,84,44.58
11263,556236,16,39.82
11264,556239,67,127.24
11265,556240,140,77.56
11266,556244,86,426.18
11267,556248,188,172.64
11268,556249,6,14.5
11269,556252,343,221.69
11271,556256,198,172.9
11272,556266,1,18.96
11274,556271,50,99.77
11275,556279,59,257.2
11276,556102,621,663.7700000000002
11277,555938,179,257.86
11278,556081,92,703.5799999999999
11279,556108,454,3023.32
11281,556087,53,635.2900000000001
11282,556091,53,471.01
11283,556082,124,1031.78
11284,556083,57,380.43
11285,556085,72,636.05
11286,556088,17,191.31000000000003
11287,556089,40,458.37
11288,556093,146,860.0099999999999
11289,556094,47,444.34
11290,556095,116,801.7999999999998
11291,556086,34,281.98
11292,556048,148,236.88
11293,556051,49,264.82
11294,555945,64,145.32
11295,556084,52,86.96
11296,555928,18,76.46
11297,555942,91,287.51000000000005
11300,556023,49,386.97
11301,556032,140,249.82
11302,556045,197,301.31
11303,556047,90,57.93
11304,556063,82,486.99
11305,556067,150,419.48
11306,556104,284,237.89
11307,556105,259,223.74
11308,556107,167,797.6900000000002
11309,555929,402,114.47
11310,555930,283,248.6
11311,555931,374,569.8900000000001
11312,555932,58,150.76
11313,555933,216,182.48
11314,555934,456,90.45
11315,555936,216,182.48
11316,555937,464,335.87
11317,555939,30,37.19
11318,555940,98,94.91
11319,555941,444,179.15
11320,555943,242,179.42999999999998
11321,555944,72,146.3
11322,555946,77,277.69
11323,555948,146,70.19
11324,555949,395,314.6700000000001
11325,555950,325,64.08
11326,556009,178,199.79999999999995
11328,556016,232,70.97
11329,556017,406,312.57000000000005
11330,556018,48,21.62
11331,556019,64,97.82
11332,556020,82,247.32
11333,556021,317,211.03
11334,556022,40,51.13999999999999
11335,556024,55,124.92
11336,556033,1,18.4
11337,556034,96,29.57
11338,556035,152,45.120000000000005
11339,556036,8,52.74
11340,556038,179,265.29999999999995
11341,556039,314,150.15
11342,556040,146,265.81
11343,556041,205,627.54
11344,556042,412,814.0500000000001
11345,556043,73,176.49
11346,556044,51,132.16
11347,556049,66,35.97
11348,556050,128,235.01
11349,556052,10,11.74
11350,556053,46,26.24
11351,556054,183,197.93
11352,556055,200,12.08
11353,556056,261,1166.21
11354,556058,244,308.5600000000001
11355,556059,260,106.63
11356,556060,492,113.64
11357,556062,114,57.6
11358,556064,171,72.75
11359,556065,74,100.76
11360,556066,382,33.78
11361,556068,48,10.37
11362,556070,180,84.21000000000001
11363,556071,497,367.7
11364,556072,263,290.18999999999994
11365,556073,221,265.25000000000006
11366,556079,252,122.58
11367,556090,58,326.67
11368,556092,54,412.37
11369,556097,2,18.4
11370,556099,1,14.09
11371,556100,222,174.04999999999998
11372,556103,162,342.04999999999995
11373,556106,187,625.1400000000001
11374,556098,5,23.06
11375,555742,197,693.92
11376,555923,386,2129.5599999999995
11377,555741,123,207.64
11378,555896,618,671.2100000000003
11379,555925,256,2029.88
11380,555924,339,1999.51
11381,555835,310,1370.2800000000002
11382,555843,31,172.17
11383,555872,336,273.87
11384,555916,39,251.69
11385,555731,139,292.41
11386,555737,237,191.43
11387,555832,44,179.87
11388,555745,71,148.36
11389,555746,44,325.24
11390,555815,568,568.29
11391,555842,22,83.31
11392,555846,21,149.23000000000002
11393,555850,320,593.8700000000001
11394,555851,345,1290.35
11395,555884,70,54.35999999999999
11396,555917,20,58.58
11397,555732,19,78.98
11398,555733,304,51.78
11399,555734,157,179.61999999999998
11400,555735,296,193.64
11401,555736,538,356.03
11402,555738,358,140.25
11403,555739,290,361.2200000000001
11404,555740,360,230.46
11405,555743,106,188.57
11406,555744,288,200.82
11407,555751,4,18.96
11408,555759,24,17.37
11410,555808,74,59.41
11411,555810,346,308.6
11412,555813,60,51.92999999999999
11413,555816,16,13.27
11414,555817,3,15.32
11415,555818,60,28.64
11416,555819,214,278.81
11417,555820,196,129.64
11418,555829,202,128.14
11419,555834,250,10.6
11420,555836,469,205.99
11421,555839,30,22.24
11422,555840,36,12.25
11423,555841,155,577.44
11424,555844,70,447.09
11425,555845,549,1436.16
11426,555847,179,240.22
11427,555848,182,288.99
11428,555849,458,104.15
11429,555852,78,155.26000000000002
11430,555853,194,913.14
11431,555854,68,382.7099999999999
11433,555856,130,440.68
11434,555857,104,233.93
11435,555858,191,152.38
11436,555859,261,145.36
11437,555861,80,30.950000000000003
11438,555862,146,119.07999999999998
11439,555863,72,11.98
11440,555865,157,517.12
11441,555866,316,188.2
11442,555870,66,24.39
11443,555871,224,43.32
11444,555875,3,38.18
11445,555876,358,166.12
11446,555878,1,15.32
11447,555918,66,114.73
11449,555921,268,194.07
11450,555926,14,33.1
11451,555927,72,21.23
11452,555722,319,2013.12
11453,555642,242,417.49
11454,555638,623,859.3700000000001
11455,555647,220,425.5799999999999
11456,555650,401,671.5800000000002
11457,555726,171,328.6
11458,555628,148,242.38
11459,555651,51,257.65
11460,555705,137,282.44000000000005
11461,555584,118,96.95000000000002
11462,555587,128,197.85
11463,555594,122,244.78
11464,555634,88,128.67999999999998
11465,555691,195,288.09000000000003
11466,555695,66,75.17999999999999
11467,555581,58,140.41000000000005
11468,555582,145,189.61
11469,555583,178,210.54
11470,555585,324,32.15
11471,555586,241,156.32
11472,555588,33,123.86
11473,555589,312,295.17
11474,555590,60,34.59
11475,555591,214,278.80999999999995
11476,555592,132,123.36
11477,555593,50,91.41
11478,555601,10,16.14
11479,555602,145,230.14
11480,555603,273,198.14
11481,555604,197,280.4
11482,555620,20,10.92
11483,555626,92,191.01
11484,555627,212,124.09
11485,555630,284,273.17
11486,555631,85,496.92
11487,555632,280,36.68
11488,555633,73,226.75
11489,555635,140,165.32
11490,555637,115,256.62
11491,555640,112,146.65
11492,555644,202,508.62
11493,555645,87,237.89
11494,555646,232,70.58
11495,555648,79,540.53
11496,555649,446,361.8
11497,555653,202,533.97
11498,555654,66,134.64
11499,555701,96,191.3
11500,555702,28,35.900000000000006
11501,555703,291,193.48
11502,555704,357,268.79
11503,555719,290,349.69000000000005
11504,555720,47,141.3
11505,555724,2,17.94
11506,555725,4,37.92
11507,555728,191,1122.6000000000004
11508,555515,234,1914.34
11509,555562,199,977.84
11510,555568,372,661.3500000000003
11511,555513,114,72.19
11512,555538,72,142.79999999999998
11513,555516,100,338.65000000000003
11514,555574,131,374.43000000000006
11515,555554,54,228.97
11517,555537,97,546.04
11518,555542,127,291.03
11519,555570,429,628.4800000000001
11520,555524,265,1016.56
11521,555539,117,335.52
11522,555547,347,419.44999999999993
11523,555548,99,121.52
11524,555557,10,52.54
11525,555558,428,1115.04
11526,555575,143,144.0
11527,555511,58,118.76
11528,555512,296,24.2
11529,555514,102,279.71000000000004
11530,555517,128,179.82999999999998
11531,555518,434,280.3900000000001
11532,555519,514,127.43
11533,555520,32,410.28
11534,555521,147,65.26
11535,555522,105,181.06
11536,555523,237,329.56
11537,555525,136,142.31
11538,555526,352,94.62
11539,555527,73,70.26
11540,555528,104,44.21
11541,555530,24,12.86
11542,555533,186,304.51000000000005
11543,555534,48,10.92
11544,555535,112,87.36999999999999
11545,555536,86,152.5
11546,555540,160,383.9199999999999
11547,555541,50,294.93
11548,555543,324,168.11
11549,555544,152,180.58
11550,555545,581,482.71
11551,555546,118,122.49
11552,555549,139,313.9900000000001
11553,555550,408,171.49
11554,555551,185,218.12
11555,555552,69,333.34000000000003
11556,555553,288,366.3499999999999
11557,555555,35,95.71
11558,555556,255,345.03
11559,555559,206,220.84
11560,555560,193,477.08000000000015
11561,555561,12,13.27
11562,555564,279,561.1400000000001
11563,555565,354,383.00999999999993
11564,555566,91,299.98
11565,555567,306,530.98
11566,555569,358,240.74
11567,555571,76,60.21
11568,555572,384,613.09
11569,555573,250,792.4600000000002
11570,555576,72,24.5
11571,555577,241,396.8399999999999
11572,555578,66,54.81
11573,555579,94,62.56
11574,555580,25,10.68
11575,555499,147,442.21
11576,555510,421,2683.73
11577,555418,347,487.85
11578,555477,356,681.8100000000003
11579,555413,169,328.6300000000001
11580,555410,182,175.29
11581,555415,103,80.62
11582,555420,308,340.13
11583,555476,37,317.89
11584,555486,251,268.67
11585,555488,107,614.0700000000002
11586,555501,90,203.58
11587,555502,14,137.95
11588,555509,410,272.98
11589,555407,328,163.67000000000002
11590,555408,136,307.05999999999995
11591,555412,42,23.68
11592,555414,170,167.87
11593,555416,264,270.39000000000004
11594,555417,22,39.1
11595,555419,2,18.96
11596,555422,4,16.66
11597,555470,106,112.83
11598,555471,130,382.7699999999999
11599,555472,381,98.16
11600,555473,537,426.3100000000002
11601,555474,6,72.96
11602,555478,336,13.72
11603,555479,102,53.62
11604,555485,90,284.79
11605,555489,360,10.99
11606,555491,104,59.6
11607,555492,333,239.79
11608,555493,228,118.72
11609,555494,79,147.89
11610,555495,137,126.12
11611,555496,193,111.52
11612,555497,72,21.77
11613,555498,23,82.14999999999999
11614,555500,49,268.09000000000003
11615,555504,4,14.09
11616,555507,218,170.91
11617,555508,168,366.7799999999999
11618,555490,120,21.47
11619,555397,422,3201.81
11621,555368,398,1335.92
11622,555320,50,553.92
11623,555321,31,332.74
11624,555322,44,469.83
11625,555324,70,617.77
11626,555327,100,806.79
11627,555323,28,263.72
11628,555350,388,657.75
11629,555325,26,330.37
11630,555348,71,299.04999999999995
11631,555393,446,530.63
11632,555280,135,160.55
11633,555281,6,58.43000000000001
11635,555283,42,35.16
11637,555285,186,12.25
11638,555286,36,23.98
11639,555287,146,35.099999999999994
11640,555289,188,115.45
11641,555312,151,221.43
11642,555326,48,432.56
11643,555336,55,400.41
11644,555340,514,1053.39
11645,555343,87,229.72
11647,555347,189,164.45
11648,555349,262,345.54000000000013
11649,555351,212,73.89
11651,555353,118,147.28
11652,555356,96,57.75
11653,555359,88,123.93
11654,555363,49,310.64
11655,555367,48,34.8
11656,555381,24,23.27
11658,555383,420,1582.12
11659,555385,2,14.09
11660,555388,115,256.9
11661,555389,33,46.32000000000001
11662,555392,24,11.53
11663,555394,84,42.66
11664,555395,72,47.45
11665,555396,198,403.3999999999999
11666,555399,70,226.66
11667,555401,413,316.36
11668,555403,53,51.24
11669,555405,136,202.68
11670,555406,263,705.4700000000001
11671,555276,301,2638.23
11672,555241,95,159.14
11673,555275,504,3016.41
11674,555277,223,2189.06
11675,555278,373,2116.4999999999995
11676,555156,7,41.71
11677,555157,63,137.75
11678,555162,553,407.96
11679,555279,66,371.89
11680,555203,160,473.54
11682,555199,57,381.45
11683,555158,628,1051.33
11684,555195,245,272.57
11685,555198,65,144.35
11686,555251,342,164.01
11688,555266,12,59.09
11689,555159,89,112.21
11691,555161,56,45.42
11692,555194,524,83.44
11693,555200,177,171.23
11694,555201,388,332.26000000000005
11695,555202,66,397.24
11696,555207,253,296.83
11697,555213,144,22.68
11698,555232,118,35.01
11699,555233,38,68.14
11700,555234,194,160.45999999999998
11701,555240,151,368.77
11702,555242,88,71.74000000000001
11703,555243,78,88.08
11704,555245,198,331.5800000000001
11705,555247,128,130.66
11706,555249,169,747.26
11707,555250,4,30.97
11708,555259,44,24.34
11709,555260,81,427.0800000000001
11710,555263,441,300.28000000000003
11711,555264,63,226.22
11712,555270,100,14.5
11713,555150,618,2614.15
11714,555149,214,1703.8
11715,555115,321,937.21
11716,555017,27,178.81
11717,555015,471,526.0200000000001
11718,555092,44,256.75000000000006
11719,555076,275,332.50000000000006
11720,555109,175,584.94
11721,555111,123,152.49
11722,555112,201,202.2
11723,555000,113,236.79
11724,555004,53,94.37
11725,555025,114,424.09
11726,555095,601,616.0099999999999
11727,555108,167,711.3
11728,555113,38,87.07
11729,555114,107,187.87
11730,555147,360,561.89
11731,555001,114,50.55
11732,555002,180,147.65
11733,555003,64,83.67999999999999
11735,555007,144,23.48
11736,555008,66,35.97
11737,555009,294,285.08
11738,555010,144,11.77
11739,555011,20,60.27
11740,555012,254,350.3
11741,555016,258,105.96
11742,555028,6,56.13
11743,555070,2,29.93
11744,555073,71,268.82
11745,555075,150,12.86
11746,555077,44,125.97
11747,555091,92,265.33000000000004
11748,555093,32,67.43
11749,555094,281,357.88
11750,555096,200,185.41
11751,555097,96,12.15
11752,555098,168,12.15
11754,555101,110,68.09
11755,555102,48,39.65
11756,555103,50,30.950000000000003
11757,555104,96,18.96
11758,555106,164,274.59
11759,555107,267,278.9
11760,555110,158,803.5600000000002
11761,555116,173,374.6799999999999
11762,555119,48,135.35
11763,555124,392,1165.1800000000003
11764,555125,165,164.42
11765,555127,294,241.51
11766,555133,114,195.7
11767,554999,198,809.22
11768,554985,254,399.8
11769,554975,314,153.0
11770,554987,16,208.83000000000004
11771,554991,32,473.5
11772,554998,93,158.61
11773,554976,193,271.5
11774,554977,61,221.38
11775,554978,250,378.9
11776,554979,125,423.98
11777,554980,16,122.71
11778,554981,210,605.94
11779,554982,271,53.97
11780,554984,40,31.68
11781,554986,204,604.3600000000001
11782,554988,145,69.66
11783,554989,116,215.41
11784,554990,520,105.49
11785,554992,406,926.19
11786,554993,184,491.11
11787,554994,72,571.4600000000002
11788,554995,82,222.23
11789,554996,92,219.33
11790,554997,226,156.0
11791,554960,77,728.6199999999999
11793,554957,36,282.88000000000005
11794,554961,77,774.01
11795,554959,47,265.42
11796,554917,417,659.19
11797,554918,16,140.14
11798,554963,80,323.46000000000004
11799,554958,89,737.04
11800,554946,290,248.22
11801,554865,52,120.81
11802,554906,369,508.06000000000006
11803,554920,336,486.64
11804,554932,6,23.32
11805,554935,334,414.9199999999999
11807,554964,208,539.17
11808,554969,42,152.03
11809,554974,337,398.65
11810,554850,158,91.39
11811,554853,294,59.39999999999999
11812,554854,199,193.43
11813,554855,286,148.86
11814,554858,120,170.61
11815,554859,508,132.83
11816,554860,229,394.39
11817,554861,337,489.75999999999993
11818,554866,291,287.59
11820,554869,408,59.81
11821,554915,88,68.92
11822,554916,46,133.38000000000002
11823,554919,300,18.12
11824,554921,56,34.33
11825,554922,110,88.8
11826,554923,22,29.52
11827,554924,3,13.27
11828,554927,68,151.6
11829,554929,313,314.16
11830,554930,600,10.68
11831,554933,171,533.7400000000001
11832,554934,18,45.82
11833,554936,84,34.29
11834,554937,431,399.16
11835,554939,328,168.53
11836,554940,155,245.76
11837,554941,58,201.02
11838,554942,111,517.01
11839,554943,258,48.05
11840,554944,168,22.68
11841,554945,12,11.74
11842,554947,97,28.64
11843,554948,177,282.19
11844,554949,130,200.33
11845,554950,448,517.51
11846,554951,50,14.5
11847,554952,30,30.49
11848,554953,12,11.74
11849,554954,87,77.88
11850,554955,56,53.52
11851,554965,17,32.19
11852,554966,48,53.5
11853,554967,1,16.35
11854,554968,21,204.19000000000003
11855,554836,238,1051.37
11856,554810,5,1225.8
11857,554788,108,256.91
11858,554824,197,226.09
11859,554825,163,241.83
11860,554809,92,180.01
11861,554714,114,886.9799999999999
11862,554701,21,128.79
11863,554702,257,336.06
11864,554765,131,352.21
11865,554820,44,57.540000000000006
11866,554826,86,121.04
11867,554823,196,282.82
11868,554837,79,329.92999999999995
11869,554816,22,126.46
11871,554704,115,333.8399999999999
11872,554718,35,130.32
11873,554813,38,284.98999999999995
11874,554832,234,210.09
11875,554842,251,472.73
11876,554698,199,135.43
11877,554699,191,241.19
11878,554700,79,74.72999999999999
11879,554703,18,26.44
11880,554705,126,60.4
11881,554706,26,20.47
11882,554707,476,75.0
11883,554708,130,237.86
11884,554709,600,24.23
11885,554710,300,6.04
11886,554711,39,95.25
11887,554712,218,282.56000000000006
11888,554713,34,35.0
11889,554756,32,38.84
11890,554762,148,233.47
11891,554770,304,303.86
11892,554776,4,11.74
11893,554787,48,187.83
11894,554789,528,67.5
11895,554791,4,11.74
11896,554792,24,11.12
11897,554794,184,174.09
11898,554795,108,236.73
11899,554798,284,119.76
11900,554808,154,603.42
11901,554811,2,12.38
11902,554812,171,451.74
11903,554814,342,521.3900000000001
11904,554815,254,45.38
11905,554817,68,258.53000000000003
11906,554818,224,72.21000000000001
11907,554819,5,62.0
11908,554821,52,36.46
11909,554822,76,151.66
11910,554834,168,24.5
11911,554835,171,163.88
11912,554838,57,104.38
11913,554839,126,669.75
11914,554840,424,138.82999999999998
11915,554841,1,14.09
11916,554843,590,177.44
11917,554844,28,48.95
11919,554694,548,3145.92
11920,554636,319,345.73
11921,554549,145,235.72
11922,554682,170,620.0999999999999
11923,554579,92,88.88
11924,554683,39,182.45
11925,554555,180,142.42
11926,554557,311,473.47
11927,554560,116,336.67
11928,554628,299,618.2600000000002
11929,554654,233,399.84
11930,554656,85,137.51
11931,554684,78,264.83000000000004
11932,554542,260,256.24
11933,554543,83,132.82
11934,554545,207,149.74
11935,554546,103,431.58000000000015
11936,554547,48,47.79
11938,554554,187,35.01
11939,554556,597,334.07000000000005
11940,554561,76,133.32999999999998
11941,554570,35,172.73
11942,554597,348,103.13
11943,554598,139,612.5400000000001
11944,554603,39,335.8
11945,554617,79,428.63
11946,554629,106,71.4
11947,554630,447,461.77
11948,554631,6,11.94
11949,554632,72,33.57
11950,554633,144,10.37
11951,554635,37,100.39
11952,554637,110,148.39
11953,554638,102,268.78000000000003
11954,554639,192,11.12
11955,554640,396,93.41
11956,554641,58,29.83
11958,554643,277,164.02999999999997
11959,554644,464,294.2800000000001
11960,554645,30,61.53999999999999
11961,554646,40,114.73
11962,554647,100,6.04
11963,554648,180,220.86
11964,554649,48,11.94
11965,554650,374,334.48
11966,554651,261,402.05
11967,554652,32,109.15
11968,554653,5,60.14
11969,554655,192,84.81
11970,554658,286,251.8
11971,554663,171,452.3999999999999
11972,554664,40,41.46
11973,554665,254,194.9
11974,554666,180,140.19
11975,554667,214,152.99
11976,554668,174,134.95
11977,554669,449,334.2800000000001
11978,554670,26,82.88
11979,554671,142,251.11
11980,554672,188,195.4
11981,554674,168,90.23000000000002
11982,554695,110,286.37
11983,554697,104,377.09
11984,554348,438,1402.98
11985,554512,276,2296.18
11986,554520,137,574.61
11987,554485,3,55.040000000000006
11988,554511,342,2407.61
11989,554514,618,3647.38
11990,554538,7,56.27
11991,554375,163,251.74
11992,554381,28,68.31
11993,554415,298,536.46
11994,554424,35,225.3
11995,554382,511,823.84
11996,554347,459,247.04
11997,554362,43,210.49000000000004
11998,554376,273,877.6400000000002
11999,554353,636,203.63
12000,554359,207,202.15
12001,554372,142,267.63
12002,554380,104,198.67
12003,554483,231,289.23
12004,554504,130,255.73
12005,554509,48,334.3
12006,554510,36,95.68
12007,554515,30,79.87
12008,554349,196,188.23
12009,554350,25,92.03000000000002
12010,554351,118,70.81
12011,554354,62,29.36
12012,554355,128,210.39
12013,554356,208,136.38
12016,554363,119,174.79999999999998
12017,554364,124,20.11
12018,554365,350,341.74000000000007
12020,554367,159,120.95
12021,554368,117,181.19
12022,554369,12,11.1
12023,554370,30,37.97
12024,554371,451,332.95000000000005
12025,554379,100,67.36
12026,554392,68,247.18
12027,554421,86,113.13
12028,554436,8,67.03
12029,554441,182,274.82
12030,554465,170,195.87
12031,554484,156,56.400000000000006
12032,554487,68,376.62
12033,554489,497,473.94000000000005
12034,554490,104,208.37
12035,554491,62,347.97
12036,554492,46,147.34
12037,554494,401,924.48
12038,554495,1,14.09
12039,554496,208,69.31
12040,554497,392,407.31000000000006
12041,554498,313,288.14
12042,554502,26,98.38
12043,554503,128,113.18
12044,554505,116,92.77
12045,554506,26,23.54
12046,554507,228,152.69000000000003
12047,554508,24,28.59
12048,554513,250,123.28
12049,554524,12,11.74
12050,554526,103,431.1700000000002
12051,554534,40,11.53
12052,554131,343,462.06
12054,554310,496,2390.08
12055,554285,102,755.43
12056,554293,74,780.33
12057,554124,326,843.22
12058,554159,12,68.1
12059,554286,97,301.79
12060,554132,430,578.67
12061,554163,52,354.45000000000005
12062,554125,159,318.49
12063,554137,161,244.85
12064,554139,398,732.38
12065,554160,179,984.26
12066,554202,109,341.59
12067,554264,84,71.18
12068,554274,19,105.68
12069,554275,406,1155.5100000000002
12070,554278,157,735.1700000000001
12071,554283,494,678.6400000000001
12072,554326,125,425.8199999999999
12073,554126,228,222.84000000000003
12074,554129,326,192.16
12075,554130,24,18.96
12076,554134,304,214.79
12077,554135,44,71.36
12078,554138,12,13.27
12079,554141,72,44.06
12080,554142,136,144.79999999999998
12081,554146,45,115.51
12082,554147,159,276.46
12083,554156,184,36.75
12084,554157,62,383.6700000000001
12085,554158,427,486.8
12086,554161,4,37.92
12087,554162,454,95.32
12088,554164,229,71.05
12089,554181,165,293.43999999999994
12090,554207,1,12.25
12091,554261,89,532.43
12092,554262,384,11.12
12093,554263,12,10.92
12094,554265,15,126.07999999999998
12095,554268,369,274.30000000000007
12096,554269,40,48.89
12097,554270,260,341.29
12100,554277,120,11.34
12101,554279,100,14.5
12102,554280,280,302.20000000000005
12103,554281,147,274.22
12105,554284,16,11.06
12106,554289,199,169.96
12107,554306,133,156.39
12108,554307,280,57.32000000000001
12109,554309,144,23.93
12110,554315,139,114.74
12111,554322,180,44.17
12112,554323,271,262.45
12113,554324,30,55.04
12114,554325,242,226.36
12115,554329,92,162.59
12116,554337,94,164.27999999999997
12117,554084,188,444.92
12118,554123,76,161.89999999999998
12119,554073,90,117.1
12122,554114,56,369.36
12123,554062,276,242.84
12124,554074,81,174.03000000000003
12125,554118,190,180.86
12126,554066,251,286.69
12127,554069,215,426.69999999999993
12128,554070,405,407.27
12129,554089,199,574.59
12130,554097,229,464.53
12131,554104,578,616.37
12132,554109,62,140.9
12133,554113,215,265.6
12134,554121,71,123.54999999999998
12135,554063,48,16.66
12136,554064,24,36.18
12137,554065,488,355.54999999999995
12138,554067,140,179.07
12139,554068,46,64.21
12140,554071,285,100.85
12141,554072,463,303.17
12142,554075,187,255.79
12143,554076,210,384.31
12144,554077,42,129.48000000000002
12145,554078,24,11.98
12146,554079,144,564.5600000000003
12147,554080,184,561.42
12148,554081,99,91.75
12149,554082,151,245.50000000000003
12150,554083,190,543.5
12151,554085,94,105.44
12152,554086,74,87.78
12153,554087,168,57.73
12154,554088,271,223.68
12155,554090,72,154.88
12156,554091,132,107.76
12157,554092,170,184.41
12158,554093,338,365.4799999999999
12159,554094,112,445.41
12160,554095,32,10.92
12161,554096,631,658.7199999999999
12162,554099,534,320.36000000000007
12163,554101,120,129.89
12164,554102,95,380.38999999999993
12165,554103,373,833.2300000000001
12166,554105,111,429.81000000000006
12167,554106,382,531.39
12168,554107,46,83.78999999999999
12169,554108,169,303.27
12170,554110,32,72.72
12171,554111,42,79.94
12172,554112,176,972.6600000000002
12173,554115,34,38.89
12174,554116,52,177.81
12175,554119,16,30.9
12176,554120,30,37.56
